,time,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,MACD,MACD_Signal,RSI,Stoch,Stoch_Signal,BB_High,BB_Low,BB_Mid,ATR,OBV,Force_Index,Conversion_Line,Base_Line,Leading_Span_A,Leading_Span_B,Lagging_Span,Fib_Level 0.0,Fib_Level 0.236,Fib_Level 0.382,Fib_Level 0.5,Fib_Level 0.618,Fib_Level 0.786,Fib_Level 1.0
42,2024-07-31,63.44,66.68,63.44,66.31,21167413,61.68050000000001,,61.81919600142904,0.46326571451632503,0.053919521031434076,80.62443376846795,94.20970266040682,83.4994090835235,64.19950357284382,59.161496427156194,61.68050000000001,1.050352377708782,33557552,12056699.47235286,63.485,63.485,,,69.27,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
43,2024-08-01,66.49,66.58,64.92,65.1,8872145,61.861000000000004,,62.131653525102465,0.6630277067834598,0.17574115818183925,69.48289659397399,75.27386541471033,82.72403088842697,64.78442196748945,58.93757803251056,61.861000000000004,1.0938986364438688,24685407,8800700.197731014,63.53,63.485,,,69.36,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
44,2024-08-02,64.82,66.58,64.82,66.21,10298482,62.06,,62.52006747509271,0.9005275274282667,0.32069843203112475,73.14867678628289,92.64475743348963,87.37610850286892,65.54475537161504,58.57524462838497,62.06,1.141477305269307,34983889,9176502.315198012,63.575,63.485,,,69.08,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
45,2024-08-05,65.75,65.94,63.44,64.27,12162219,62.143499999999996,,62.68672771556007,0.9215826287604898,0.4408752713769978,59.659988697368576,62.28482003129878,76.73448095983291,65.75378129097994,58.533218709020055,62.143499999999996,1.2578003548929277,22821670,4494901.290169729,63.575,63.485,,,69.18,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
46,2024-08-06,65.1,67.88,64.82,67.33,13505235,62.38449999999999,,63.12894412360197,1.1716789887357564,0.5870360148487496,69.2819104334824,92.75362318840583,82.56106688439807,66.64535660401751,58.12364339598246,62.38449999999999,1.4258146152577187,36326905,9756489.548716914,64.175,64.085,,,67.51,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
47,2024-08-07,67.79,68.34,67.05,68.34,10709270,62.7085,,63.6252351594494,1.434840763773522,0.7565969646337041,71.68274169555816,100.0,85.01281440656818,67.68580559640452,57.73119440359549,62.7085,1.4161135713107391,47036175,9907899.99890022,64.45,64.315,,,66.58,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
48,2024-08-08,68.44,68.9,66.86,67.33,5817168,63.004999999999995,,63.97806990616851,1.5441003793868902,0.9140976475843413,66.11768305630315,81.57276995305156,91.44213104715247,68.32957885658571,57.68042114341428,63.004999999999995,1.4606768876456866,41219007,7653151.473343042,64.965,64.595,,,67.97,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
49,2024-08-09,67.42,67.97,67.14,67.88,4530433,63.32899999999999,62.228199999999994,64.34968229605722,1.6559807006864062,1.0624742582047544,67.5931125381238,87.900355871886,89.82437527497918,69.00078596211101,57.65721403788898,63.32899999999999,1.4156285385281375,45749440,6915806.712865463,65.42500000000001,64.595,,,67.88,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
50,2024-08-12,67.88,68.9,67.42,67.6,5808119,63.6435,62.355999999999995,64.6592363630994,1.7024284657992865,1.190465099723661,66.01702146979216,84.5788849347567,84.68400358656476,69.5262315934011,57.7607684065989,63.6435,1.4202265000618424,39941321,5695509.565313254,66.17,64.595,,,67.88,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
51,2024-08-13,67.42,68.9,67.33,68.34,6740336,64.0,62.5004,65.00978528089945,1.7784496097959988,1.3080620017381286,68.13193642931103,93.35705812574137,88.61209964412802,70.10943532578908,57.89056467421093,64.0,1.4309246072002826,46681657,5594415.14741137,66.17,64.595,61.8375,,67.33,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
52,2024-08-14,68.53,68.62,67.88,68.53,5459112,64.38449999999999,62.6022,65.34504382557569,1.8328997982857658,1.4130295610476562,68.67105440316357,95.56354916067141,91.1664974070565,70.6167467056431,58.15225329435688,64.38449999999999,1.3815728495431203,52140769,4943388.880638315,66.17,64.595,61.8625,,67.51,49.64,54.57948,57.635259999999995,60.105,62.57474,66.09098,70.57
