,time,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,MACD,MACD_Signal,RSI,Stoch,Stoch_Signal,BB_High,BB_Low,BB_Mid,ATR,OBV,Force_Index,Conversion_Line,Base_Line,Leading_Span_A,Leading_Span_B,Lagging_Span,Fib_Level 0.0,Fib_Level 0.236,Fib_Level 0.382,Fib_Level 0.5,Fib_Level 0.618,Fib_Level 0.786,Fib_Level 1.0
80,2024-09-25,61.2,62.21,61.0,62.07,2604508,60.584500000000006,59.8084,60.58831239989574,0.34649631690032123,0.2459227530643676,63.084546332590236,95.82089552238806,82.6865671641791,61.987346748579526,59.181653251420485,60.584500000000006,0.8646591679171396,25579200,452337.2692549446,60.735,60.6,59.2475,59.0,62.61,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
81,2024-09-26,62.14,62.74,61.87,61.87,1820054,60.61800000000001,59.869800000000005,60.710377885619955,0.40629603001652015,0.27799740845479814,61.13334608798553,77.57731958762875,84.41632045955784,62.10737033675314,59.128629663246876,60.61800000000001,0.8650406559230586,23759146,335716.1165042375,61.0,60.8,59.2975,59.0,62.54,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
82,2024-09-27,61.87,62.61,61.87,61.87,1073168,60.6645,59.93,60.82081808698948,0.44851750291363857,0.31210142734656626,61.13334608798553,77.57731958762875,83.65851156588184,62.24637831390412,59.08262168609588,60.6645,0.8561091804999831,24832314,287756.6712893465,61.0,60.8,59.55,59.0,61.87,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
83,2024-09-30,61.87,61.87,61.54,61.54,1278350,60.68149999999999,59.983599999999996,60.8893116025143,0.45016090757190597,0.33971332339163424,57.717192661324,69.07216494845356,74.74226804123701,62.29306166496977,59.069938335030216,60.68149999999999,0.8185299533214128,23553964,186383.5039622973,61.370000000000005,60.8,60.2,59.535,61.94,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
84,2024-10-01,61.74,62.48,61.54,61.54,1725848,60.6915,60.043800000000005,60.95128192608436,0.4463184364913886,0.3610343460115851,57.717192661323985,66.75900277008301,71.13616243538844,62.321656740930194,59.0613432590698,60.6915,0.8272063852270259,25279812,159757.28911054056,61.67,60.8,60.265,59.6,62.14,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
85,2024-10-02,61.74,62.01,61.41,62.01,1380621,60.7485,60.1108,61.05211221883823,0.4757145809554686,0.38397039300036184,61.29019626702639,79.02298850574704,71.6180520747612,62.47642679243079,59.02057320756921,60.7485,0.8109773577108099,26660433,229633.65780903454,61.67,60.8,60.3175,59.6,62.34,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
86,2024-10-03,61.94,62.81,61.81,61.94,1700784,60.831999999999994,60.179,61.136672959901254,0.4877404539007628,0.40472440518044206,60.470602212487734,75.49295774647878,73.75831634076961,62.619731523467706,59.04426847653228,60.831999999999994,0.8244789750171807,24959649,179821.00955060098,61.805,60.835,60.3175,59.6,61.67,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
87,2024-10-04,61.87,62.07,61.74,61.74,860495,60.902499999999996,60.243199999999995,61.1941326780059,0.4756497224031975,0.4189094686249932,58.08082612461802,69.8591549295775,74.79170039393443,62.716499724366074,59.08850027563392,60.902499999999996,0.7891590482302391,24099154,129546.72247194423,61.805,60.835,60.3175,59.6,61.54,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
88,2024-10-07,61.74,61.87,61.41,61.54,611894,60.963,60.3062,61.22707242295772,0.44480200145891047,0.42408797519177666,55.709837383320405,54.804270462633376,66.7187943795632,62.77729986496175,59.148700135038254,60.963,0.7656476876423649,23487260,93557.3621188091,61.905,60.835,60.38250000000001,59.6,61.47,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
89,2024-10-08,61.54,61.54,60.87,61.2,1124515,61.0465,60.36240000000001,61.22449409696174,0.3884420833235467,0.4169587968181307,51.835830628622986,27.14932126696838,50.60424888639307,62.73893345511729,59.35406654488271,61.0465,0.7588157099536247,22362745,25572.724673265548,61.84,60.835,60.432500000000005,59.6,61.87,52.0,55.9176,58.3412,60.3,62.258799999999994,65.04759999999999,68.6
