,time,open,high,low,close,volume
99,2024-10-22,61.54,61.67,61.14,61.14,1260601
100,2024-10-23,61.0,61.41,61.0,61.2,750353
101,2024-10-24,61.67,61.74,61.14,61.34,756579
102,2024-10-25,61.61,61.74,61.34,61.41,997728
103,2024-10-28,61.2,61.74,61.2,61.54,1106555
104,2024-10-29,61.61,61.94,61.54,61.54,1298643
105,2024-10-30,61.54,61.81,61.27,61.34,627682
106,2024-10-31,61.2,63.55,61.2,62.61,2892451
107,2024-11-01,62.88,63.48,62.54,62.54,1732251
108,2024-11-04,62.88,63.75,61.81,61.87,1856395
109,2024-11-05,61.94,62.21,61.54,61.94,1084183
110,2024-11-06,62.07,62.48,62.07,62.14,1417991
111,2024-11-07,62.34,62.81,62.34,62.34,1420301
112,2024-11-08,62.54,62.81,61.67,61.67,1381249
113,2024-11-11,62.07,62.07,61.47,61.54,1874368
114,2024-11-12,61.54,62.34,61.47,61.47,1337197
115,2024-11-13,61.47,62.14,61.47,61.87,1332711
116,2024-11-14,61.54,61.87,61.47,61.54,1720202
117,2024-11-15,61.54,61.87,61.27,61.34,1509691
118,2024-11-18,61.34,61.74,60.8,60.87,1876350
119,2024-11-19,61.2,61.27,60.2,60.2,1577896
120,2024-11-20,60.2,61.0,60.13,60.4,1641687
121,2024-11-21,60.47,61.07,60.33,60.54,1461608
122,2024-11-22,60.87,61.07,60.6,60.6,1730814
123,2024-11-25,60.8,61.67,60.8,61.07,1814963
124,2024-11-26,61.14,62.14,61.14,61.81,1760827
125,2024-11-27,61.74,62.34,61.74,62.01,1048309
126,2024-11-28,62.27,62.54,61.87,61.94,1290948
127,2024-11-29,61.94,62.41,61.87,62.41,1011316
128,2024-12-02,63.48,63.61,62.81,63.01,1575332
129,2024-12-03,63.14,63.14,61.94,62.21,2447450
130,2024-12-04,62.07,62.81,61.87,62.54,1205482
131,2024-12-05,62.21,63.28,62.21,62.88,2334456
132,2024-12-06,62.88,63.75,62.81,63.01,1702183
133,2024-12-09,63.01,63.75,62.81,63.75,1958838
134,2024-12-10,63.75,63.75,63.21,63.21,914482
135,2024-12-11,63.21,63.41,62.34,62.41,1611488
136,2024-12-12,62.54,63.14,62.54,62.54,672349
137,2024-12-13,62.34,62.61,62.14,62.27,1228466
138,2024-12-16,62.21,62.34,62.14,62.27,1122982
139,2024-12-17,62.21,62.27,62.07,62.21,1049241
