time,Unnamed: 0,open,high,low,close,volume,returns,volatility,volume_sma20,volume_ratio,volume_class,accumulation,distribution,local_min,local_max,rsi,stoch_k,stoch_d,macd,adx,rsi_signal,stoch_signal,macd_signal,volume_signal,swing_signal,swing_strength
2024-08-30,64,68.16,69.27,67.97,68.44,3679027,0.005435581019538782,0.0169423584259608,6075453.5,0.605555947387302,Very Low,False,False,66.58,70.57,58.01926954502779,36.22754491017957,33.092706714850074,-0.3092913332885969,31.68225918907636,0,0,-1,0,-1,Sell
2024-09-04,65,67.88,68.99,67.7,68.81,2842048,0.00540619520748109,0.015286489933586915,5609444.95,0.5066540496132331,Very Low,False,False,66.4,70.57,59.732317878491216,47.305389221556986,36.22754491017957,-0.28758415346078325,30.392733800161693,0,0,-1,0,-1,Sell
2024-09-05,66,68.81,69.83,68.62,69.18,5862150,0.005377125417817208,0.011264109077544215,5227290.7,1.121450926767857,High,True,False,66.4,70.57,61.42737188278075,58.383233532934405,47.305389221556986,-0.24835289810933925,29.859435755877993,0,0,-1,1,0,Neutral
2024-09-06,67,69.36,69.92,69.27,69.83,3645061,0.009395779126915249,0.010974340468616482,4874080.25,0.7478459141086157,Low,False,False,66.4,70.47,64.27264577949092,77.84431137724559,61.17764471057899,-0.18175946658915976,29.431771604603842,0,0,-1,0,-1,Sell
2024-09-09,68,69.55,69.55,68.71,69.27,2641519,-0.008019475869969983,0.01055446017837271,4715297.8,0.5602019452514749,Very Low,False,False,66.4,70.38,60.155648179891955,61.077844311377206,65.7684630738524,-0.17831199748943916,28.36252012374664,0,0,-1,0,-1,Sell
2024-09-10,69,69.27,69.92,68.81,69.36,3335353,0.0012992637505413462,0.010436241926351623,4655543.8,0.7164260810949733,Low,False,False,66.4,70.01,60.59253814092385,63.77245508982043,67.56487025948108,-0.1727360257285866,27.68295574631146,0,0,-1,0,-1,Sell
2024-09-11,70,69.27,69.55,68.44,69.08,3167882,-0.0040369088811995635,0.01043392740641642,4523531.95,0.7003116226469893,Low,False,False,66.4,69.92,58.445419774997426,57.09876543209868,60.64968827776544,-0.18933708665823934,26.60765537049658,0,0,-1,0,-1,Sell
2024-09-12,71,69.46,69.64,68.9,69.18,2054428,0.0014475969889984341,0.01017681662236372,4289236.55,0.47897288388069903,Very Low,False,False,66.4,69.92,59.00415155329722,61.90476190476216,60.92532747556043,-0.19428577722173768,25.693561618943797,0,0,-1,0,-1,Sell
2024-09-13,72,69.27,69.27,67.51,67.51,5350666,-0.024139924833767035,0.011566942768324144,4283814.25,1.2490424859107745,Very High,False,True,66.4,69.92,47.51439489829714,10.071942446043202,43.02515659430136,-0.3041860176180089,24.364638002819305,0,0,-1,-1,-2,Sell
2024-09-16,73,67.6,67.6,66.58,66.58,4039871,-0.013775736927862603,0.011927461744168769,4272886.15,0.9454665671351903,Normal,False,False,66.4,69.92,42.545774114683425,0.0,23.992234783601788,-0.4261883313072198,23.90611847546151,0,0,-1,0,-1,Sell
