time,rsi,stoch_k,stoch_d,macd,adx
2024-09-12,59.00415155329722,61.90476190476216,60.92532747556043,-0.19428577722173768,25.693561618943797
2024-09-13,47.51439489829714,10.071942446043202,43.02515659430136,-0.3041860176180089,24.364638002819305
2024-09-16,42.545774114683425,0.0,23.992234783601788,-0.4261883313072198,23.90611847546151
2024-09-17,50.82307191085302,44.602272727272585,18.224738391105262,-0.4003520777244064,23.078679357766585
2024-09-18,50.317597825671164,42.045454545454305,28.882575757575626,-0.37674551247178,21.81910190123988
2024-09-19,50.317597825671164,42.045454545454305,42.89772727272706,-0.3491716988525424,20.64949426303651
2024-09-20,47.00426690292373,26.420454545454366,36.837121212121,-0.35486063785681254,19.275074416549163
2024-09-23,48.2062997949977,31.534090909090928,33.333333333333194,-0.3337041084542729,17.906286494369144
2024-09-24,47.30753514568529,27.55681818181818,28.503787878787822,-0.31649149302537777,16.896582809269496
2024-09-25,43.1603049685799,8.522727272727202,22.53787878787877,-0.33575517390322307,15.959981928831908
2024-09-26,50.48609075576695,38.352272727272606,24.810606060605995,-0.26634002093552445,15.294915565989248
2024-09-27,52.314130219013926,46.59090909090916,31.155303030302992,-0.19287593164825234,14.783383407087785
2024-09-30,46.73912972309579,23.76543209876535,36.23620463898237,-0.19431404323638024,13.84430495792691
2024-10-01,46.73912972309579,23.76543209876535,31.373924429479953,-0.18665976651904412,12.972303540848957
2024-10-02,46.73912972309579,26.82926829268288,24.78671083007119,-0.17328237142899194,12.712477484574725
2024-10-03,48.32041317922679,45.53990610328643,32.04486883157822,-0.14386062343442843,12.085141085151507
2024-10-04,37.85180672952203,3.02013422818803,25.12976954138578,-0.22876512622436335,12.929474480013448
2024-10-07,32.05829338093301,0.0,16.186680110491483,-0.3554659829182269,14.603244264443642
2024-10-08,39.82981293018335,24.822695035460903,9.280943087882978,-0.3483877208353373,16.157459064271677
2024-10-09,38.129946980833594,15.839243498817993,13.553979511426299,-0.3482955662019466,17.055979103579368
2024-10-10,37.67427492392695,14.503816793893293,18.38858510939073,-0.3339242173553818,17.628220682397476
2024-10-11,37.674274923926944,14.503816793893293,14.948959028868193,-0.30421346884500655,18.318987485977573
2024-10-14,35.370228198110254,2.5445292620867264,10.517387616624438,-0.29574670629324395,19.273433029288693
2024-10-15,33.53737821164739,2.088167053364347,6.378837703114789,-0.2952596245870952,20.4571719189769
2024-10-16,39.35174283334121,17.633410672853937,7.422035662768337,-0.23147990581474476,20.549757604093408
2024-10-17,40.192728634359824,20.873786407766953,13.531788044661747,-0.16722150540760516,20.635730025987307
2024-10-18,39.08379551348376,17.49347258485645,18.66688988849245,-0.12415759902757628,20.577247481797276
2024-10-21,38.482003225311665,15.659340659340469,18.008866550654623,-0.0906089020040497,20.722807587565956
2024-10-22,38.482003225311665,15.659340659340469,16.270717967845798,-0.058194549601796486,20.85797054292259
2024-10-23,38.482003225311665,15.659340659340469,15.659340659340469,-0.028057759197238186,20.983479001468034
2024-10-24,48.89893365821183,65.46184738955819,32.26017623607971,0.06678235207460892,19.928499509493825
2024-10-25,45.82440968983616,56.36363636363606,45.82827480417823,0.10451775298102861,18.948875695517774
2024-10-28,40.48268531018426,21.81818181818197,47.881221857125404,0.08063212294884226,18.59026918538275
2024-10-29,39.18807340561512,12.727272727272762,30.30303030303026,0.05492986353699547,18.257277425971655
2024-10-30,35.13453757685561,0.0,11.515151515151572,-0.0006831673311941122,18.46499519544542
2024-10-31,34.058640102056515,21.690140845070484,11.472471190781079,-0.041494327596982794,19.521279257843908
2024-11-01,32.4264700659663,13.521126760563275,11.737089201877914,-0.07717576608642118,20.502114458642502
2024-11-04,31.36590762511996,8.169014084507008,14.460093896713586,-0.10121384881555406,20.927662938069858
2024-11-05,30.851174797229092,5.633802816901482,9.10798122065725,-0.11008153248901609,21.410815541087576
2024-11-06,34.4550004939496,13.521126760563275,9.107981220657251,-0.08511241161026284,22.05854652839917
2024-11-07,35.74303015833782,16.338028169014017,11.830985915492922,-0.051537150826648226,22.306411627703756
2024-11-08,34.361388895801724,10.98591549295775,13.615023474178344,-0.03271745784555369,22.53657207705802
2024-11-11,31.09160269588962,11.650485436893115,12.99147636628829,-0.042565381107007916,23.633769362184065
2024-11-12,29.278828201626325,4.611650485436833,9.082683805095895,-0.057642995195991586,24.65259541265825
2024-11-13,30.777594926575034,7.754010695187153,8.005382205839032,-0.05018781579967191,25.695826018892323
2024-11-14,30.777594926575034,9.177215189873401,7.180958790165792,-0.03526770900018994,26.664540153252535
2024-11-15,23.544126925600807,0.0,5.643741961686847,-0.09614256450615999,28.414806159047277
2024-11-18,21.458541456230748,0.0,3.0590717299577967,-0.1519743439844493,30.37315352952563
2024-11-19,20.67773150308436,0.0,0.0,-0.18286492419300682,32.31502923463098
